severity,issue_type,id,class_level,subject,topic,difficulty,stem_snippet,answer_index,keyed_option,recommended_action,reason
quality,true_false_not_strict,447,B4,Computing,Input,Easy,A mouse is an input device. True or False?,1,True,rewrite,Stem is True/False but type=mcq with options False/True/Sometimes/Never. Convert to true_false with two options.
quality,true_false_not_strict,451,B5,Science,Animals,Easy,Penguins are birds. True or False?,1,True,rewrite,Stem is True/False but type=mcq with False/True/Sometimes/Rarely. Convert to true_false.
quality,ambiguous_two_correct,437,B8,Mathematics,Geometry,Hard,What is the name of a 3D circle?,1,Sphere,rewrite,Wording '3D circle' is non-standard (sphere is the 3D analogue of a circle). Rewrite stem.
quality,ambiguous_two_correct,470,B9,Science,Quantum,Hard,What is Planck's constant used for?,1,Quantum mechanics,deactivate,Planck's constant is used in energy calculations (E=hf) and in quantum mechanics; A and B both defendable. Also out of level.
quality,ambiguous_two_correct,139,B8,Mathematics,Geometry,Medium,Rotating a shape by 180° about a point does what to the shape?,1,It flips to face the opposite direction,rewrite,180° rotation is not the same as a flip; 'faces the opposite direction' is sloppy vs reflection. Rewrite.
quality,ambiguous_two_correct,339,B8,Mathematics,Transformations,Medium,Rotating a shape 180° makes it?,1,Face the opposite direction,rewrite,Clone of 139: same sloppy rotation wording.
quality,empty_or_wrong_explanation,411,B6,Mathematics,Geometry,Hard,How many lines of symmetry does a circle have?,2,Many,keep,Explanation says infinite lines of symmetry; keyed option is 'Many' (acceptable for B6). Optional: add 'Infinite' as the key.
quality,question_type_option_mismatch,415,B6,Computing,Network,Hard,What does CPU stand for?,1,Central Processing Unit,keep,CPU stand-for item is tagged strand/topic Network. Metadata only — recode to Hardware.
quality,ambiguous_two_correct,254,B5,Science,Body Systems,Medium,Which system helps us move?,1,Skeletal,keep,Keyed skeletal system; explanation also credits muscular. Acceptable among given options.
quality,empty_or_wrong_explanation,349,B8,Science,Health,Easy,Vaccines mainly help prevent?,1,Diseases,rewrite,Stem is generic 'Vaccines prevent?'; explanation talks about livestock. Align stem or explanation.
quality,computing_anachronism_or_unsafe,442,B9,Computing,Networks,Hard,What is bandwidth?,1,Speed of data transfer,keep,Bandwidth keyed as 'speed of data transfer' — school shorthand; technically capacity. Keep unless you want a stricter stem.
quality,ambiguous_two_correct,439,B8,Computing,Security,Hard,What is encryption?,1,Converting to secret code,keep,Encryption: A 'Hiding information' is a weak near-synonym of B. B is the better school key; optional tighten A.
quality,out_of_level,216,B4,Science,Matter,Easy,What state is sugar in?,2,Solid,keep,"B4 'state of sugar' includes Plasma as a distractor — advanced word, not a wrong key."
quality,ambiguous_two_correct,141,B8,Mathematics,Data/Probability,Easy,The probability that the sun will rise tomorrow is best described as what?,2,Certain,keep,Sun-will-rise as 'Certain' is standard school probability; philosophically not certain. Keep for CCP.
quality,ambiguous_two_correct,341,B8,Mathematics,Probability,Easy,Probability the sun rises tomorrow?,2,Certain,keep,Clone of 141. Keep.
quality,ambiguous_two_correct,258,B5,Science,Health,Medium,Which food group helps build strong bones?,2,Proteins and calcium,rewrite,'Proteins and calcium' is two food groups mashed as one option. Rewrite as calcium-rich foods / dairy.
quality,ambiguous_two_correct,450,B5,Science,Photosynthesis,Medium,Plants make food using?,2,"Light, water, and air",keep,"Plants make food using 'Light, water, and air' — air stands in for CO₂. Acceptable at B5."
quality,ambiguous_two_correct,465,B8,Science,Pressure,Medium,What measures pressure?,1,Barometer,keep,"Barometer measures atmospheric pressure, not pressure in general. Fine among given instruments."
quality,computing_anachronism_or_unsafe,31,B4,Computing,Introduction to Computing,Easy,Which of these is NOT a common use of a computer?,1,Cooking food,keep,'Computer cannot cook food' is a B4 distractor; ignore smart appliances. Keep.
quality,computing_anachronism_or_unsafe,498,B9,Science,E-waste,Easy,The safest thing to do with a broken phone battery is to:,2,Take it to an e-waste or recycling collection point,keep,Broken-battery e-waste item gives correct safety advice (do not burn/bury/dump). Keep.
quality,computing_anachronism_or_unsafe,481,B5,Computing,Personal information,Medium,A stranger in a chat asks Efua for her home address and when her parents leave the hous...,2,Refuse and tell a trusted adult,keep,Stranger-chat personal-info item: refuse and tell an adult. Sound advice. Keep.
quality,computing_anachronism_or_unsafe,512,B8,Computing,Secure websites,Easy,It is safer to type a password on a site that uses http (no s) than on https.,1,False,keep,http vs https T/F is correctly False (https is safer). Keep.
